candidate,evaluation
feeling of energy,FALSE
fifty-eight usa swimming age group,FALSE
increase turbulence of volume,FALSE
start of warm-up,FALSE
surface of object,FALSE
vo2peak,FALSE
strong relationship,FALSE
important training adaptation,FALSE
practical perspective,FALSE
long catch,FALSE
development and preliminary validation,FALSE
long layoff,FALSE
anaerobic and aerobic energy,FALSE
solstad and pierre-nicolas lemyre,FALSE
predictable effect,FALSE
good technical form,FALSE
recording chart,FALSE
primary aim of taper,FALSE
manifestation of imbalance,FALSE
propulsive technique,FALSE
warm-up be static,FALSE
maximum force,FALSE
low limb injury,FALSE
effect of wave drag,FALSE
muscular imbalance,FALSE
optimal workload,FALSE
total absence of dolphin,FALSE
implementation of taper,FALSE
3-site skinfold method,FALSE
sulcus sign,FALSE
flat portion of acromion process,FALSE
normality of datum,FALSE
acidosis,FALSE
propulsive phase of breaststrokers insweep,FALSE
zigzag hand pattern,FALSE
contribution of wave drag,FALSE
knee angle,FALSE
type of fiber,FALSE
flat style,FALSE
aspect of comprehensive prevention,FALSE
strength and flexibility training,FALSE
perception of mastery-involving climate,FALSE
achievement environment,FALSE
future training decision,FALSE
ep&s,FALSE
curvilinear pathway,FALSE
world championship participant,FALSE
precompetition,FALSE
waist crease asymmetry,FALSE
performance benefit,FALSE
postural measurement,FALSE
high interval exercise,FALSE
proportion of respondent,FALSE
glide performance,FALSE
line with body,FALSE
intraspecific transfer,FALSE
phase of front crawl,FALSE
flexion and internal rotation,FALSE
popular swimming stroke,FALSE
sum total training time,FALSE
pre-olympic swimming,FALSE
biceps tendonitis,FALSE
observation of figure,FALSE
noticeable fall-off,FALSE
non-dominant shoulder,FALSE
unique potential,FALSE
scientific explanation,FALSE
untrained individual,FALSE
method datum,FALSE
sound reasoning,FALSE
equal contribution,FALSE
short-term resistance exercise training,FALSE
habitual bilateral breather,FALSE
manual resistance,FALSE
injury prevention practice,FALSE
small influence,FALSE
theory of fluid movement,FALSE
morning workout of week,FALSE
mid-way,FALSE
phsyiol,FALSE
demand of training regime,FALSE
water motion,FALSE
strengthening of posterior shoulder,FALSE
palm of swimmer,FALSE
hip and lumbar extensor,FALSE
minimum velocity,FALSE
sport nutr exerc metab,FALSE
cognitive performance,FALSE
avoidance of regular practice,FALSE
considerable drag,FALSE
phase of backstroke arm stroke,FALSE
non-acclimatized swimmer,FALSE
excessive shoulder revolution,FALSE
brocca,FALSE
characteristic of type,FALSE
backward inertia,FALSE
saint-lô club,FALSE
stage of race,FALSE
improvement level,FALSE
skinfold measure,FALSE
timing asymmetry,FALSE
recovery of leg,FALSE
cdepartment of internal medicine,FALSE
history of injury,FALSE
month of training,FALSE
absolute and relative frequency distribution,FALSE
steep angle,FALSE
review of literature,FALSE
intensity of workout,FALSE
biomechanists,FALSE
prediction of percent body fat,FALSE
rate of decay of velocity,FALSE
variety of sport,FALSE
level of self-regulated motivation,FALSE
major asymmetry,FALSE
study with rat,FALSE
full workout,FALSE
importance of anaerobic metabolism,FALSE
8th week,FALSE
usual training programme,FALSE
function change,FALSE
training and high incidence,FALSE
contrast and interference of image,FALSE
demographic datum,FALSE
early vertical forearm,FALSE
mechanical stress,FALSE
angle of elbow,FALSE
hypoxic exposure previous research,FALSE
ionotropic,FALSE
perier,FALSE
pb improvement,FALSE
additional detail,FALSE
hands-off,FALSE
individual measure,FALSE
atp-cp,FALSE
competitive race,FALSE
stager1,FALSE
power of simulated swimming,FALSE
work be intense,FALSE
cognitive restructuring,FALSE
shoulder and slender hip,FALSE
international journal of sport science,FALSE
discussion previous investigation,FALSE
elbe,FALSE
foremost concern,FALSE
autonomic nervous system,FALSE
dry land program,FALSE
3department,FALSE
high low high,FALSE
efficacy of intervention,FALSE
asymmetry and movement asymmetry,FALSE
single performance,FALSE
phase of stroke cycle,FALSE
athletic injury,FALSE
lactate metabolism,FALSE
line with team,FALSE
male and female track athlete,FALSE
performance problem,FALSE
battery of kinematic variable,FALSE
abdominal drawing-in maneuver,FALSE
typical practice,FALSE
term of volume and intensity,FALSE
multidimensional questionnaire,FALSE
aquatic milieu,FALSE
low ability,FALSE
department of human performance,FALSE
olivos pt,FALSE
strength and neural development,FALSE
inequitable contribution of limb,FALSE
excellent overhead view,FALSE
mitochondrial messenger,FALSE
tipton,FALSE
edge of board,FALSE
flat board,FALSE
eersel,FALSE
percentage improvement,FALSE
three-dimensional laser scanner,FALSE
muscle fiber recruitment result,FALSE
millisecond,FALSE
eveningness,FALSE
time with break,FALSE
uptake and respiratory enzyme,FALSE
tract of competitor,FALSE
undue emphasis,FALSE
thoughtfully conceived swim training,FALSE
strouhal number,FALSE
development of active movement,FALSE
question be consistent,FALSE
structure of skeleton,FALSE
kick be symmetrical,FALSE
clinical measure of shoulder mobility,FALSE
result of propulsion,FALSE
elbow joint,FALSE
late maturation,FALSE
primary component of improvement,FALSE
segment of individual swimmer,FALSE
animal and marine vessel,FALSE
harm and co worker,FALSE
long distance competition,FALSE
methacholine provocation,FALSE
portion of preceding downsweep,FALSE
long axis,FALSE
load and subsequent performance,FALSE
participant be blind,FALSE
resumption of workout,FALSE
basic understanding of training stress,FALSE
chickenpox,FALSE
ullevål stadion,FALSE
realistic opportunity,FALSE
strong and early catch,FALSE
specific exercise,FALSE
angle or lumbar lordosis,FALSE
initial contributor,FALSE
sigaut,FALSE
joint mobility,FALSE
low threshold,FALSE
lanfranconi,FALSE
uneven development,FALSE
major propulsive peak,FALSE
generation of force,FALSE
absolute time,FALSE
long rest period,FALSE
psychological perspective,FALSE
sport involvement,FALSE
swimming be problematic,FALSE
baseline be consistent,FALSE
swimmer functional pain scale,FALSE
absolute swim-time,FALSE
viscor,FALSE
elsevier,FALSE
section of survey,FALSE
poor practice skill,FALSE
american academy of paediatrics,FALSE
entry and incorrect hand,FALSE
familiarization,FALSE
3-month period,FALSE
turbulent flow,FALSE
competitive time,FALSE
postural assessment,FALSE
strong positive correlation,FALSE
race swimming,FALSE
biomechanic of drag and propulsion,FALSE
winning performance,FALSE
digital inclinometer,FALSE
surface performance,FALSE
nature of practice and conditioning session,FALSE
location of propulsive phase,FALSE
potential pb,FALSE
roughly equal number,FALSE
landmark be problematic,FALSE
simulated swimming action,FALSE
underwater kick,FALSE
excellent underwater kicker,FALSE
conclusion periodic hand force,FALSE
small number of swimmer,FALSE
positive test result,FALSE
situational motivation scale,FALSE
underwater view,FALSE
anterior instability,FALSE
ss or dw component,FALSE
intensity training high intensity,FALSE
body with broad chest,FALSE
performance response,FALSE
baseline competency,FALSE
development of asymmetry,FALSE
development of technical asymmetry,FALSE
training be consistent,FALSE
questionnaire package,FALSE
rio olympics christopher bacon,FALSE
major propulsive movement,FALSE
low limb alignment,FALSE
test-retest design,FALSE
asymmetry three-dimensional video technique,FALSE
international rule,FALSE
resting position of scapula,FALSE
duration of catch and pull,FALSE
performance analysis,FALSE
finish of race,FALSE
age of national-level swim,FALSE
competitive routine,FALSE
oxidative metabolism,FALSE
out-of-water training program,FALSE
center of mass of body,FALSE
scenario with small number,FALSE
nutrition neuromuscular research laboratory,FALSE
great decrease,FALSE
technique and respective variant,FALSE
effect of recovery of arm,FALSE
work of osborough,FALSE
standardize-time,FALSE
high train-low,FALSE
in-water and out-of-water training,FALSE
in-water practice yard,FALSE
video of martin zubero,FALSE
timing and adolescent swim,FALSE
type of coaching behavior,FALSE
pattern of breaststroke swimmer,FALSE
1st lumbar spinous process,FALSE
- stress,FALSE
sum of reading,FALSE
olympic-gold-medal -,FALSE
energetically efficient manner,FALSE
usa cdepartment,FALSE
individual swimming stroke,FALSE
